#id;begin_inter;end_inter;length;width;height;typo
585;1169;577;130.735212352;7.5;6.9;0
587;1169;422;44.9694788036;30;8.6;0
589;515;1113;274.1619966;7.5;6.9;0
592;356;350;105.669170472;7.5;6.9;0
595;669;656;34.3906966032;25;8.6;0
598;722;790;36.3087490771;28;8.6;0
599;1197;687;64.6944178801;7.5;6.9;0
601;1201;1202;79.5104516048;7.5;6.9;0
602;1203;416;130.224724498;7.5;6.9;0
603;380;351;74.6426327637;7.5;6.9;0
604;410;378;93.4718885615;7.5;6.9;0
605;1209;1;54.8066170103;7.5;6.9;0
606;376;1212;65.2410674243;7.5;6.9;0
608;618;555;139.449579888;8;9.3;0
609;1217;422;149.387260055;7.5;6.9;0
611;1113;221;122.991160879;7.5;6.9;0
613;90;1226;12.194659823;7.5;6.9;0
