# species, molecular weight (g/mol), speciation for each SNAP.
#Name	molecular_mass	10100	10200	10300	10500	20100	20200	20300	30100	30200	30300	40100	40200	40400	40500	40600	50200	50400	50500	50600	60100	60200	60300	60400	70101	70102	70103	70104	70201	70202	70301	70302	704	705	70601	70602	70603	80200	80300	80500	80600	80700	80800	80900	90200	90400	100100	100200	100500
1M4PBZ	 134	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.3      0.3      0.3     0.3     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1M4IPC	 140	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.3      0.3      0.3     0.3     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
1PTENE	 70	0.0      0.0    0.0    0.0    0.5    0.5    0.5   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.2      0.2       0.2       0.2       0.0      0.0      0.0     0.0     0.6      0.6      0.6      0.6      0.6      0.6      0.6      0.6      0.6      0.6      0.6      0.6      0.6       0.4      0.4     0.4     0.4     0.4     0.4     0.4      0.0      0.0       0.0	   0.0     0.0  
1PRPAL	 58	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.0      0.0      0.0     0.0     0.2      0.2      0.2      0.2      0.2      0.2      0.2      0.2      0.2      0.2      0.2      0.2      0.2       0.3      0.3     0.3     0.3     0.3     0.3     0.3      0.0      0.0       0.0	   0.0     0.0  
1PRPOL	 60	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       1.0      1.0      1.0     1.0     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.3      0.3       0.0	   0.0     0.0  
2233TH	 140	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.1      0.1      0.1     0.1     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
TMPMIB	 216	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.2      0.2      0.2     0.2     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
22DMBA	 86	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.0      0.0      0.0     0.0     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.2      0.2     0.2     0.2     0.2     0.2     0.2      0.0      0.0       0.0	   0.0     0.0  
22DMPA	 72	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.3    0.3     0.3    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.0      0.0      0.0     0.0     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
23DMBA	 86	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.2     0.2    0.2    0.2    0.2      0.0      0.0       0.0       0.0       0.0      0.0      0.0     0.0     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.2      0.2     0.2     0.2     0.2     0.2     0.2      0.0      0.0       0.0	   0.0     0.0  
23DMHP	 128	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.1      0.1      0.1     0.1     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
24DMPT	 100	0.7      0.7    0.7    0.7    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.0      0.0      0.0     0.0     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
25DMOC	 142	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.1      0.1      0.1     0.1     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
26DMOC	 142	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.4      0.4      0.4     0.4     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
2BEEOL	 162	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.4      0.4      0.4     0.4     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
2BEEAC	 204	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.1      0.1      0.1     0.1     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
2EEEOL	 134	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.4      0.4      0.4     0.4     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
2EEEAC	 176	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.1      0.1      0.1     0.1     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
2MEEOL	 120	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.1      0.1      0.1     0.1     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
2EEEEO	 178	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.1      0.1      0.1     0.1     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
2BUTOL	 74	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.8      0.8      0.8     0.8     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.5      0.5       0.0	   0.0     0.0  
2BUTON	 72	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       3.0      3.0      3.0     3.0     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
2BUTEN	 56	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.0      0.0      0.0     0.0     1.4      1.4      1.4      1.4      1.4      1.4      1.4      1.4      1.4      1.4      1.4      1.4      1.4       0.4      0.4     0.4     0.4     0.4     0.4     0.4      0.0      0.0       0.0	   0.0     0.0  
2BOEOL	 118	0.0      0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0     0.0    0.0     0.0    0.0    0.0    0.0      0.0      0.0       0.0       0.0       0.4      0.4      0.4     0.4     0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0       0.0      0.0     0.0     0.0     0.0     0.0     0.0      0.0      0.0       0.0	   0.0     0.0  
