#	O3	NO2	NO
2014-04-05_11	70	20.5	5.22
2014-04-05_12	83	12.5	2.61
2014-04-05_13	86	11	2.28
2014-04-05_14	90	11	1.96
2014-04-05_15	92.5	11	1.63
2014-04-05_16	95.5	12.5	1.96
2014-04-05_17	91	15.5	1.63
2014-04-05_18	81	20.5	0.98
2014-04-05_19	67	25.5	0.98
2014-04-05_20	63	22.5	0.65
2014-04-05_21	55.5	25	0.33
2014-04-05_22	53.5	22	0.33
2014-04-05_23	51.5	19.5	0.65
2014-04-06_00	47.5	19.5	0.33
2014-04-06_01	48.5	16	0.00
2014-04-06_02	49.5	12	0.33
2014-04-06_03	44.5	12.5	0.33
2014-04-06_04	41.5	11.5	0.33
2014-04-06_05	36	14	0.33
2014-04-06_06	32	15	0.65
2014-04-06_07	34.5	13	1.30
2014-04-06_08	40	11.5	3.26
2014-04-06_09	49.5	10	2.61
2014-04-06_10	57	8	2.61
2014-04-06_11	62	7.5	1.96
2014-04-06_12	56	9.5	1.96
2014-04-06_13	47.5	11	1.96
2014-04-06_14	43	12.5	1.96
2014-04-06_15	36	17.5	2.61
2014-04-06_16	38	14.5	2.28
2014-04-06_17	37.5	15.5	2.28
2014-04-06_18	34.5	19.5	1.96
2014-04-06_19	27	26	2.28
2014-04-06_20	11.5	40.5	6.20
2014-04-06_21	17.5	26.5	2.93
2014-04-06_22	21	19.5	1.96
2014-04-06_23	20	17	0.98
2014-04-07_00	19.5	15	0.98
2014-04-07_01	18.5	16	1.96
2014-04-07_02	21.5	11	0.65
2014-04-07_03	17.5	13	0.65
2014-04-07_04	16	16	3.26
2014-04-07_05	10	30	13.04
2014-04-07_06	4	38	41.74
2014-04-07_07	6	31	25.43
2014-04-07_08	12.5	24	15.65
2014-04-07_09	29.5	17	8.48
2014-04-07_10	40	13	5.87
2014-04-07_11	55	8	3.26
2014-04-07_12	62	6	2.61
2014-04-07_13	69.5	7.5	2.61
2014-04-07_14	71.75	9	2.61
2014-04-07_15	77	9	2.61
2014-04-07_16	74	12	1.96
2014-04-07_17	72	10	1.30
2014-04-07_18	53	16	0.65
2014-04-07_19	31	22	0.65
2014-04-07_20	54	15	0.00
2014-04-07_21	53	10	0.00
2014-04-07_22	64	7	0.00
2014-04-07_23	68	6	0.00
2014-04-08_00	84	5	0.00
2014-04-08_01	88	6	0.00
2014-04-08_02	83	7	0.00
2014-04-08_03	80	7	0.00
2014-04-08_04	67	12	0.00
2014-04-08_05	45	27	0.65
2014-04-08_06	22	42	1.96
2014-04-08_07	28	37	5.22
2014-04-08_08	47	25	5.22
2014-04-08_09	65	20	4.57
2014-04-08_10	77	15	3.26
2014-04-08_11	80	13	2.93
2014-04-08_12	83.5	11	2.61
2014-04-08_13	78.5	16	3.26
2014-04-08_14	82.5	13	3.26
2014-04-08_15	81	13	1.96
2014-04-08_16	77	17	1.30
2014-04-08_17	77.5	20	1.30
2014-04-08_18	75	20	0.65
2014-04-08_19	74.5	23	0.00
2014-04-08_20	74	21	0.00
2014-04-08_21	69	24	0.00
2014-04-08_22	56	33	0.65
2014-04-08_23	52	32	0.00
2014-04-09_00	51.5	37	0.65
2014-04-09_01	55	30	0.65
2014-04-09_02	47.5	28	0.65
2014-04-09_03	37.5	32	1.30
2014-04-09_04	16.5	47	1.96
2014-04-09_05	2.5	77	30.65
2014-04-09_06	3.5	80	56.74
2014-04-09_07	8.5	64	34.57
2014-04-09_08	13	63	55.43
2014-04-09_09	19	65	63.91
2014-04-09_10	26	67	59.35
2014-04-09_11	52.5	38	15.65
2014-04-09_12	63	27	9.13
2014-04-09_13	68	28	7.83
2014-04-09_14	71.5	27	6.52
2014-04-09_15	75	26	5.87
2014-04-09_16	71.5	30	5.87
2014-04-09_17	69	31	3.91
2014-04-09_18	63	33	2.61
2014-04-09_19	48	47	1.96
2014-04-09_20	23.5	64	1.30
2014-04-09_21	8	83	3.91
2014-04-09_22	3	93	31.30
2014-04-09_23	16.5	57	5.87
2014-04-10_00	20	45	1.96
2014-04-10_01	5.5	65	7.83
2014-04-10_02	11	50	1.96
2014-04-10_03	12.5	42	0.65
2014-04-10_04	6	53	6.52
2014-04-10_05	2	69	63.26
2014-04-10_06	3	77	114.13
2014-04-10_07	5.5	64	121.96
2014-04-10_08	15.5	55	45.00
2014-04-10_09	45	54	34.57
2014-04-10_10	65.5	41	16.96
2014-04-10_11	85	16	4.57
2014-04-10_12	91	13	3.26
2014-04-10_13	94	12	1.96
2014-04-10_14	98	13	1.96
2014-04-10_15	100	15	3.26
2014-04-10_16	97.5	20	2.61
2014-04-10_17	86.5	37	4.57
2014-04-10_18	75	43	3.26
2014-04-10_19	65	50	2.61
2014-04-10_20	64	42	1.30
2014-04-10_21	66.5	24	0.65
2014-04-10_22	58	25	0.65
2014-04-10_23	50	33	0.65
2014-04-11_00	34.5	34	1.30
2014-04-11_01	38.5	24	1.30
2014-04-11_02	37.5	28	1.30
2014-04-11_03	30.5	34	1.30
2014-04-11_04	15	36	1.96
2014-04-11_05	2.5	53	24.13
2014-04-11_06	3	52	40.43
2014-04-11_07	6	48	44.35
2014-04-11_08	16	39	26.74
2014-04-11_09	32	32	16.96
2014-04-11_10	58	24.5	8.80
2014-04-11_11	76.5	19	3.26
2014-04-11_12	78.5	18	3.59
2014-04-11_13	87.5	15.5	3.59
2014-04-11_14	92	16	2.61
2014-04-11_15	95.5	15.5	2.61
2014-04-11_16	90.5	22	2.61
2014-04-11_17	83.5	26	2.61
2014-04-11_18	80.5	29.5	0.98
2014-04-11_19	60	42	0.98
2014-04-11_20	41.5	53	0.98
2014-04-11_21	44	48.5	1.63
2014-04-11_22	41	47	1.30
2014-04-11_23	30	52	0.65
2014-04-12_00	31	48	1.96
2014-04-12_01	37.5	37.5	0.65
2014-04-12_02	29.5	39	0.65
2014-04-12_03	24.5	40.5	0.98
2014-04-12_04	20	38.5	2.28
2014-04-12_05	8.5	48.5	5.87
2014-04-12_06	7	48.5	11.41
2014-04-12_07	21	34	9.46
2014-04-12_08	27	29.5	12.07
2014-04-12_09	32	28	14.35
2014-04-12_10	47.5	23.5	10.11
2014-04-12_11	72.5	18.5	3.91
2014-04-12_12	81	18	2.93
2014-04-12_13	95.5	11.5	1.96
2014-04-12_14	99	13.5	1.96
2014-04-12_15	101.5	16.5	1.30
2014-04-12_16	102	18.5	1.30
2014-04-12_17	101	19.5	0.98
2014-04-12_18	96.5	20	0.65
2014-04-12_19	90	21	0.00
2014-04-12_20	81.5	27.5	0.00
2014-04-12_21	78.5	25	0.00
2014-04-12_22	75.5	21.5	0.33
2014-04-12_23	78.5	21	0.00
2014-04-13_00	88.5	14.5	0.00
2014-04-13_01	85	12.5	0.00
2014-04-13_02	83	10.5	0.00
2014-04-13_03	78.5	11.5	0.00
2014-04-13_04	76	10	0.00
2014-04-13_05	67	14	0.00
2014-04-13_06	63.5	17	0.00
2014-04-13_07	69.5	13.5	0.33
2014-04-13_08	64.5	16.5	1.30
2014-04-13_09	61	19.5	1.96
2014-04-13_10	67.5	15	2.28
2014-04-13_11	67.5	15	1.96
2014-04-13_12	66.5	17.5	1.30
2014-04-13_13	73	15.5	1.30
2014-04-13_14	71.5	18	1.63
2014-04-13_15	73.5	18	0.98
2014-04-13_16	73	17.5	1.30
2014-04-13_17	74	17.5	1.30
2014-04-13_18	71	22	0.98
2014-04-13_19	58.5	32	0.65
2014-04-13_20	51.5	36	0.33
2014-04-13_21	53.5	37.5	0.00
2014-04-13_22	73.5	28	0.00
2014-04-13_23	65.5	32	0.33
2014-04-14_00	66	29	0.00
2014-04-14_01	75.5	17	0.00
2014-04-14_02	72	16.5	0.00
2014-04-14_03	57	27.5	0.33
2014-04-14_04	47	35.5	0.98
2014-04-14_05	27.5	54	3.59
2014-04-14_06	25.5	51.5	5.54
2014-04-14_07	28.5	45.5	11.74
2014-04-14_08	39.5	37	13.04
2014-04-14_09	58	22.5	6.52
2014-04-14_10	72.5	14	3.26
2014-04-14_11	78.5	11.5	2.28
2014-04-14_12	85.5	10	1.96
2014-04-14_13	89	11	1.96
2014-04-14_14	89	10.5	1.96
2014-04-14_15	92.5	12	1.63
2014-04-14_16	92.5	13	1.63
2014-04-14_17	89.5	14	1.30
2014-04-14_18	82.5	18	0.98
2014-04-14_19	74.5	24.5	0.65
2014-04-14_20	70.5	24	0.65
2014-04-14_21	64.5	28.5	0.98
